# packets,total bytes,data bytes,header bytes, runtime,
7131,10791121,10320162,470959,1.8583159999999999,
7131,10791121,10320162,470959,1.6237940000000002,
7131,10791121,10320162,470959,1.7394239999999996,
7131,10791121,10320162,470959,1.5920420000000002,
7131,10791121,10320162,470959,1.7216989999999992,
7131,10791121,10320162,470959,1.8016459999999999,
7131,10791121,10320162,470959,1.9558579999999992,
7131,10791121,10320162,470959,2.0818410000000007,
7132,10791187,10320162,471025,1.9110569999999996,
7131,10791121,10320162,470959,1.5995190000000008,
